id,menu_id,order_id
0,7,0
1,1,0
2,13,1
3,14,2
4,13,2
5,7,3
6,23,4
7,14,5
8,7,5
9,23,6
10,4,6
11,5,6
12,0,6
13,7,7
14,18,8
15,3,8
16,14,8
17,4,8
18,23,8
19,11,9
20,0,9
21,13,9
22,13,9
23,5,9
24,5,10
25,11,10
26,19,10
27,22,10
28,20,10
29,14,11
30,5,12
31,6,12
32,8,12
33,0,12
34,9,12
35,5,13
36,13,14
37,13,14
38,19,14
39,6,14
40,16,15
41,5,16
42,5,16
43,17,16
44,11,16
45,5,17
46,13,17
47,22,17
48,13,17
49,22,18
50,12,18
51,5,18
52,6,18
53,11,18
54,7,19
55,9,20
56,12,20
57,18,20
58,4,20
59,6,21
60,8,21
61,8,21
62,6,22
63,7,23
64,10,23
65,20,23
66,7,23
67,22,24
68,12,24
69,22,24
70,21,24
71,8,24
72,23,25
73,14,25
74,15,25
75,1,25
76,17,25
77,20,26
78,2,26
79,6,26
80,7,26
81,0,27
82,19,27
83,18,27
84,3,28
85,7,28
86,9,28
87,19,29
88,19,30
89,6,30
90,15,31
91,7,31
92,12,31
93,19,31
94,16,31
95,7,32
96,2,32
97,3,33
98,23,33
99,7,33
100,7,34
101,13,35
102,12,35
103,18,35
104,11,36
105,8,36
106,15,36
107,5,37
108,3,37
109,22,38
110,10,38
111,9,38
112,20,38
113,10,38
114,16,39
115,11,39
116,5,39
117,20,39
118,2,39
119,19,40
120,14,40
121,2,41
122,23,41
123,15,41
124,14,41
125,10,41
126,4,42
127,7,42
128,9,42
129,8,43
130,2,43
131,10,43
132,17,43
133,20,43
134,18,44
135,10,44
136,18,44
137,1,45
138,19,45
139,2,46
140,0,46
141,6,46
142,15,47
143,5,47
144,0,47
145,5,47
146,0,47
147,19,48
148,2,48
149,2,48
150,7,48
151,1,49
152,5,49
153,11,50
154,8,50
155,16,50
156,7,50
157,21,51
158,7,52
159,16,52
160,20,52
161,17,52
162,18,53
163,8,53
164,0,53
165,9,53
166,22,53
167,11,54
168,4,54
169,4,55
170,9,56
171,18,57
172,3,57
173,22,57
174,5,57
175,7,58
176,0,59
177,13,59
178,2,59
179,12,59
180,5,60
181,2,60
182,5,61
183,16,62
184,3,62
185,14,63
186,2,64
187,8,64
188,0,64
189,15,65
190,9,65
191,11,65
192,23,66
193,22,66
194,8,67
195,9,67
196,18,67
197,9,67
198,20,68
199,21,68
200,23,68
201,5,68
202,16,69
203,23,69
204,15,69
205,5,69
206,6,70
207,23,70
208,23,70
209,5,71
210,11,72
211,21,72
212,18,72
213,12,72
214,3,73
215,17,73
216,2,74
217,4,74
218,1,74
219,2,74
220,20,74
221,23,75
222,23,75
223,3,75
224,18,76
225,15,76
226,16,76
227,0,77
228,20,78
229,7,78
230,13,78
231,16,79
232,5,79
233,1,79
234,10,79
235,16,80
236,3,80
237,8,80
238,12,80
239,23,80
240,10,81
241,9,82
242,19,83
243,4,83
244,0,84
245,23,84
246,13,85
247,17,85
248,13,85
249,14,85
250,0,85
251,4,86
252,7,86
253,0,87
254,22,87
255,5,87
256,1,87
257,16,87
258,17,88
259,0,88
260,7,89
261,4,89
262,5,89
263,9,89
264,9,89
265,18,90
266,13,90
267,16,90
268,10,91
269,0,91
270,11,91
271,13,91
272,16,92
273,23,92
274,23,92
275,13,92
276,23,93
277,21,93
278,2,93
279,10,93
280,17,94
281,10,94
282,13,94
283,5,94
284,5,94
285,22,95
286,19,95
287,11,95
288,11,96
289,13,96
290,14,96
291,23,96
292,11,96
293,4,97
294,14,97
295,6,98
296,3,99
297,23,99
298,16,99
299,23,100
300,4,100
301,10,100
302,1,100
303,16,101
304,5,101
305,16,101
306,10,101
307,18,101
308,4,102
309,0,102
310,3,102
311,5,103
312,22,103
313,3,103
314,14,104
315,2,104
316,12,104
317,2,104
318,12,105
319,5,105
320,8,105
321,6,105
322,2,106
323,18,106
324,16,106
325,10,107
326,10,107
327,13,108
328,10,109
329,5,109
330,6,109
331,11,109
332,1,110
333,9,111
334,4,111
335,1,111
336,9,112
337,7,112
338,13,112
339,11,113
340,2,113
341,10,114
342,3,114
343,13,114
344,19,115
345,11,115
346,3,115
347,15,115
348,22,116
349,12,116
350,1,116
351,23,116
352,12,117
353,8,117
354,19,117
355,13,117
356,12,118
357,17,118
358,9,118
359,0,118
360,18,119
361,10,119
362,23,119
363,20,120
364,2,120
365,12,120
366,12,121
367,22,121
368,0,121
369,20,122
370,14,123
371,6,123
372,2,123
373,6,124
374,2,124
375,21,124
376,3,124
377,0,125
378,0,125
379,10,125
380,21,126
381,22,126
382,21,126
383,9,127
384,21,127
385,0,127
386,9,127
387,5,127
388,11,128
389,2,128
390,15,128
391,18,129
392,17,129
393,0,130
394,23,130
395,2,130
396,11,131
397,10,131
398,21,131
399,14,132
400,21,133
401,14,133
402,3,133
403,19,133
404,16,133
405,2,134
406,18,134
407,14,134
408,21,134
409,5,135
410,14,135
411,11,135
412,10,135
413,4,135
414,8,136
415,21,136
416,8,137
417,5,138
418,16,138
419,13,138
420,3,138
421,7,139
422,17,139
423,19,139
424,2,140
425,9,141
426,3,142
427,13,142
428,15,142
429,12,142
430,11,142
431,21,143
432,7,143
433,7,143
434,11,144
435,12,144
436,20,144
437,19,144
